q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
57	q57	0.055298748387279	0.22298125080966133	0.001545268374693262	0.4488548666790951	0.003020430952519926	5.123560939556208E-4	5.882846443273074E-4	0.0015076700736861351	0.0018246489485385328	0.0036596422783126167	0.0017646731592529323	0.0027279145850510346	7.057918990147134E-4	0.001889194240962991	0.2531192588736496
58	q58	0.00196576059486801	0.41494826478799335	0.023155174613585756	0.0021175760244383354	0.024913304965980165	6.106369654148471E-4	7.011302378366856E-4	0.0017968734821415518	0.06611512770691445	0.06830211205562953	0.0021031752635083893	0.02456467769468855	8.41177900513188E-4	0.3645809235640913	0.0032840841423959393
59	q59	0.001620397355639153	0.4650288243829094	0.0015181196520687855	0.0017455404281288603	0.07324311293635957	5.033545420520413E-4	5.779491085105913E-4	0.2825841728922993	0.0017925918062309718	0.0035953462539159236	0.0017336697278050282	0.125662546579077	6.933918856508493E-4	0.0018560031064832965	0.03784497934286924
60	q60	0.00579388772832863	0.09226971121093734	0.005428183890602824	0.194699657161886	0.5759850264815487	0.0017997929298295208	0.0020665130288843063	0.005296109426915288	0.006409585668527196	0.0756749449308163	0.0061989040687753655	0.009582556821855522	0.0024792898625846365	0.006636318915832693	0.009679517872675686
61	q61	0.0031893205712217117	0.18911014823748112	0.0029880141553360693	0.0034356313752034193	0.2478988757575918	9.907193380670743E-4	0.0011375388724730524	0.0029153120555159124	0.0035282394799767106	0.1453955715792405	0.003412267063600558	0.03985461510503101	0.0013647572289157296	0.003653047733729312	0.35112594144661596
62	q62	0.002254004864821952	0.06033456443697398	0.002111734550316598	0.0024280813610646312	0.12632136277243203	7.001761528227174E-4	8.039386744670064E-4	0.19757027170860395	0.026932270547057057	0.005001197958539831	0.002411568981440186	0.003727916505576793	9.64521867458E-4	0.0025817371378564617	0.5658566524805688
63	q63	0.014199819593100736	0.1621038580813448	0.0011233857752582556	0.0012916737389085053	0.0021958057401415244	3.724748122997592E-4	0.03942992322596669	0.027097552104604315	0.0013264910530735516	0.37968224798919137	0.0012828895986940142	0.001983150947209521	0.3385325957241626	0.027374914166402257	0.002003217449642136
64	q64	0.002889559627253806	0.04601725902106913	0.002707173793324452	0.003112719933359169	0.0052915284187001295	8.976026515019219E-4	0.0010306227696235703	0.0026413048887206007	0.003196623898085702	0.8836417231901385	0.003091551609254219	0.03610872102553268	0.0012364851075999063	0.0033097015530714527	0.004827422512764795
65	q65	0.013015354056884846	0.2677451431797428	0.0010296795330102851	0.036932840910341644	0.06159416286921103	3.414051514928075E-4	3.9199964728994395E-4	0.0010046261496258725	0.036964753968686974	0.4910070292639166	0.0011758784844710425	0.0018177281448504773	4.7029984233267657E-4	0.08467297798061589	0.0018361208175271585
66	q66	0.24582518497819444	0.16613105224283325	0.0026249354694550244	0.003018161959051927	0.005130782762497929	8.703353450060124E-4	0.3047785698104983	0.2152065461813578	0.0030995170953869748	0.006216606111392692	0.0029976366847200677	0.03501181298751494	0.0011989232550918512	0.003209159685791336	0.004680775431207539
67	q67	0.1823953738187686	0.08842867404724768	0.0030950399321988255	0.003558690068311869	0.006049663970088152	0.0010262052833462253	0.0011782836531899024	0.0030197337621473037	0.0036546152438357957	0.6878788540119172	0.003534488885305405	0.0054637787911996135	0.0014136405992949907	0.003783893924976735	0.0055190640081717
68	q68	0.0018476227256852128	0.490173775565297	0.12192658459885258	0.001990314383314371	0.2838398309247428	5.739390327537221E-4	6.589938594120204E-4	0.0016888853553444895	0.08217435155236714	0.004099515111108065	0.001976779076303542	0.0030557978656824093	7.906249669414582E-4	0.0021162670418752145	0.0030867179403199843
69	q69	0.001811336942742579	0.14668122136230455	0.0016970073418880976	0.06086874621893529	0.21934793132488273	5.626673446134481E-4	6.460517647891665E-4	0.00165571704313059	0.02164299525488195	0.4360808170982079	0.0019379567694055313	0.10119165112969467	7.750977461833213E-4	0.002074705306645066	0.00302609735169519
70	q70	0.0028017808001049574	0.5610440840322287	0.0026249354694550244	0.003018161959051927	0.06588663380702031	8.703353450060124E-4	0.15288894219919233	0.002561067525529462	0.0030995170953869748	0.006216606111392692	0.0029976366847200677	0.004633887465253753	0.1227106253441366	0.003209159685791336	0.06543662647572991
71	q71	0.030408467811128527	0.20793683429106904	0.002405695365525479	0.03060677636283316	0.28310922511910963	7.976431155348283E-4	9.158497421193481E-4	0.002347161805940768	0.002840638940845093	0.005697382158723964	0.0027472677952945722	0.4218573195923776	0.0010987866756945457	0.0029411239526365425	0.004289827271166918
72	q72	0.23505210031400048	0.018087690164291365	0.0033338672710912162	0.0038332947576135337	0.12226329654516827	0.001105391944051043	0.0012692053716543967	0.003252750134916616	0.003936621955374663	0.47088281368547874	0.003807226101404107	0.04446765978779517	0.0015227235287161992	0.0812404183837195	0.005944940054724673
73	q73	0.044728563101801254	0.26790389471322057	4.7761417038734254E-4	5.491628030255931E-4	9.335599221633029E-4	1.5835989059576023E-4	1.8182801573724913E-4	0.0059933396538625	0.017146004882424237	0.6588853536279814	5.454281733609566E-4	8.431484671297357E-4	2.181473573358631E-4	5.839153605128257E-4	8.516798604614037E-4
74	q74	0.0015924202251279647	0.05989105272219467	0.001491908407345558	0.0017154026275453397	0.48635289604558823	4.946638245145304E-4	5.679704711218331E-4	0.0014556084206939991	0.0017616416354338657	0.29704844870684155	0.0017037368819698372	0.0026337164279092097	0.06974381494397534	0.019089556822716305	0.054457161837021796
75	q75	0.002641306005850502	0.44299572517344704	0.002474589668178837	0.0028452937177579117	0.03347491154519094	8.20486018671494E-4	9.42077846567971E-4	0.4319843721891611	0.002921989157387057	0.005860543786085387	0.0028259440490177885	0.004368476931511414	0.0011302537279537755	0.0030253518588950405	0.06168867832432384
76	q76	0.002008570237895642	0.38042956543980994	0.0018817914878089248	0.002163691850509294	0.003678209784818023	6.239352025334122E-4	7.163992056225023E-4	0.0018360051610128863	0.0022220145806587754	0.004456626305525317	0.045704274228092506	0.5477631996466608	8.594967770527397E-4	0.0023006163199110873	0.0033556037720882405
77	q77	0.001776448953841142	0.20163872348813686	0.001664321444575251	0.13673997935082008	0.041774946025117686	0.11611726027398347	0.28954718425227777	0.0016238264343423666	0.07900884678371714	0.1195070247800231	0.001900629968042935	0.002938083000482849	7.601686620751883E-4	0.0020347446046884276	0.0029678119778758067
78	q78	0.04057525960907072	0.017415750941644464	0.0032100175057426543	0.003690891771040251	0.006274402810062375	0.0010643277618995735	0.0012220556879157633	0.0031319137883589238	0.003790380468898337	0.7505818301678194	0.003665791538793735	0.005666752594948265	0.0014661559042766972	0.0039244617210542395	0.15432000772847448
79	q79	0.002200233920569453	0.05889523901604344	0.0020613575690805264	0.0023701576939315298	0.004029195386269366	6.834729355990343E-4	7.847601259545975E-4	0.0020112021762472305	0.002434045750616842	0.9113998461352465	0.0023540392292706763	0.0036389843148225487	9.415124887406666E-4	0.002520147899128154	0.003675805358479555
80	q80	0.0037012779728847994	0.299727765085004	0.0837288588099078	0.003987127178978188	0.006777993917932197	0.0011497519867982432	0.0013201393456575268	0.0033832849518269513	0.1646170038442619	0.40951842242548736	0.003960012371935081	0.0061215729664962325	0.001583831338655964	0.0042394437338011655	0.006183514070372603
81	q81	0.0021489686915033565	0.0808228852976486	0.0020133281450369707	0.002314933258035767	0.00393531553899581	6.67548084938204E-4	7.664752939451952E-4	0.0019643413678124342	0.0023773327294256976	0.7969647236723821	0.002299190351980436	0.0035541963462691747	0.024219474769876972	0.025761328133969846	0.050189958318179434
82	q82	0.0024982180702047673	0.5544301801920761	0.05651370948329628	0.0026911551198529476	0.004574881165252932	7.760376850146414E-4	8.910424973943397E-4	0.002283585200902452	0.029850283822531305	0.0055430595149502165	0.0026728536841268413	0.004131822660987122	0.05524220049082929	0.2737273399257222	0.00417363048685862
83	q83	0.0031893205712217117	0.3965887834873749	0.10672733178028296	0.0034356313752034193	0.005840467966049095	9.907193380670743E-4	0.035717311414122016	0.0029153120555159124	0.0035282394799767106	0.007076481412644628	0.003412267063600558	0.38565234052152064	0.0013647572289157296	0.003653047733729312	0.039907988571775285
84	q84	0.002889559627253806	0.04601725902106913	0.002707173793324452	0.003112719933359169	0.03662118388124047	8.976026515019219E-4	0.06368993369470426	0.0026413048887206007	0.003196623898085702	0.7896527568025175	0.003091551609254219	0.03610872102553268	0.0012364851075999063	0.0033097015530714527	0.004827422512764795
85	q85	0.002983016506646099	0.20922033742092483	0.002794731777008336	0.00321339447513023	0.1995203655029084	9.266337681995699E-4	0.0010639561492054275	0.0027267324777882247	0.0033000121415011326	0.0066187328590826	0.03553449041348601	0.10196248136178372	0.0012764766822611134	0.42387508287161946	0.00498355559245482
86	q86	0.002008570237895642	0.031987191414041605	0.0018817914878089248	0.002163691850509294	0.003678209784818023	6.239352025334122E-4	7.163992056225023E-4	0.06716895029084445	0.0022220145806587754	0.8755625613699461	0.00214897747487146	0.003321990231397723	8.594967770527397E-4	0.0023006163199110873	0.0033556037720882405
87	q87	0.0071393593049592415	0.03628929410008143	0.0840962586019074	0.23991331454951562	0.013074006951504508	0.0022177454937127197	0.002546404023234441	0.006525985640394408	0.007898036211470321	0.015840848322243944	0.007638429586333692	0.011807842923312937	0.0030550369596548674	0.008177422039224544	0.5537800152924499
88	q88	0.12366424195430219	0.08681598028621743	0.0051073434548766315	0.18319166036249562	0.009982976749473432	0.001693413639912116	0.0019443688727570783	0.00498307543793663	0.12424354820265866	0.4258405012861491	0.0058325091340175675	0.009016166336924163	0.002332747951729283	0.006244069961949652	0.009107396368600435
89	q89	0.0031893205712217117	0.36200901094572596	0.0029880141553360693	0.0034356313752034193	0.10957978559099599	9.907193380670743E-4	0.0011375388724730524	0.0029153120555159124	0.0035282394799767106	0.007076481412644628	0.10715158468854745	0.03985461510503101	0.0013647572289157296	0.003653047733729312	0.35112594144661596
90	q90	0.06095500565006758	0.13777877712834682	0.004822313820898326	0.00554471692664788	0.1210414612158163	0.0015989079395960055	0.001835857911429112	0.004704980929370695	0.005694175838272485	0.45788308334655786	0.005507009594319134	0.17593641262073467	0.00220256240601076	0.00589560211530619	0.008599132556626145
91	q91	0.0071393593049592415	0.03628929410008143	0.006688730777250402	0.08509825890020159	0.013074006951504508	0.0022177454937127197	0.002546404023234441	0.006525985640394408	0.007898036211470321	0.789916126568814	0.007638429586333692	0.011807842923312937	0.0030550369596548674	0.008177422039224544	0.011927320519850909
92	q92	0.0021489686915033565	0.17402248300738316	0.0020133281450369707	0.048914732112903044	0.027235214966429448	6.67548084938204E-4	7.664752939451952E-4	0.0019643413678124342	0.025677232156859332	0.004768143139638502	0.002299190351980436	0.0035541963462691747	9.195753424433362E-4	0.0024614287065362096	0.7025871422863212
